language,level,verb,translation
english,A1,pass,"mijać, zdawać"
english,A1,prepare,przygotowywać
english,A1,promise,obiecywać
english,A1,push,pchać
english,A1,pull,ciągnąć
english,A1,receive,otrzymywać
english,A1,relax,relaksować się
english,A2,accept,akceptować
english,A2,achieve,osiągać
english,A2,act,działać
english,A2,add,dodawać
english,A2,admit,przyznawać
english,A2,advise,radzić
english,A2,afford,pozwolić sobie na
english,A2,allow,pozwalać
english,A2,announce,ogłaszać
english,A2,apologize,przepraszać
english,A2,appear,pojawiać się
english,A2,apply,aplikować
english,A2,argue,kłócić się
english,A2,arrange,organizować
english,A2,arrest,aresztować
english,A2,attack,atakować
english,A2,attend,uczęszczać
english,A2,attract,przyciągać
english,A2,avoid,unikać
english,A2,bake,piec
english,A2,beat,"bić, pokonać"
english,A2,behave,zachowywać się
english,A2,belong,należeć
english,A2,boil,gotować (w wodzie)
english,A2,book,rezerwować
english,A2,breathe,oddychać
english,A2,burn,"palić się, parzyć"
english,A2,calculate,obliczać
english,A2,camp,obozować
english,A2,care,"dbać, przejmować się"
english,A2,cause,powodować
english,A2,celebrate,świętować
english,A2,chat,"rozmawiać, czatować"
english,A2,check,sprawdzać
english,A2,cheer,dopingować
english,A2,clear,"czyścić, wyjaśniać"
english,A2,combine,łączyć
english,A2,communicate,komunikować się
english,A2,compare,porównywać
english,A2,compete,rywalizować
english,A2,complete,ukończyć
english,A2,concentrate,koncentrować się
english,A2,concern,"dotyczyć, martwić"
english,A2,confirm,potwierdzać
english,A2,connect,łączyć
english,A2,consider,rozważać
english,A2,consist,składać się
english,A2,contain,zawierać
english,A2,continue,kontynuować
english,A2,control,kontrolować
english,A2,copy,kopiować
english,A2,correct,poprawiać
english,A2,cost,kosztować
english,A2,cover,przykrywać
english,A2,crash,rozbić się
english,A2,create,tworzyć
english,A2,cross,"przechodzić, krzyżować"
english,A2,damage,uszkadzać
english,A2,deal with,radzić sobie z
english,A2,defend,bronić
english,A2,define,definiować
english,A2,delay,opóźniać
english,A2,deliver,dostarczać
english,A2,depend,zależeć
english,A2,describe,opisywać
english,A2,deserve,zasługiwać
english,A2,design,projektować
english,A2,destroy,niszczyć
english,A2,develop,rozwijać
english,A2,disagree,nie zgadzać się
english,A2,disappear,znikać
english,A2,discover,odkrywać
english,A2,discuss,dyskutować
english,A2,divide,dzielić
english,A2,doubt,wątpić
english,A2,download,pobierać
english,A2,drop,upuszczać
english,A2,earn,zarabiać
english,A2,educate,edukować
english,A2,encourage,zachęcać
english,A2,end,kończyć
english,A2,escape,uciekać
english,A2,examine,badać
english,A2,exist,istnieć
english,A2,expect,oczekiwać
english,A2,experience,doświadczać
english,A2,fail,"oblać, zawieść"
english,A2,fear,bać się
english,A2,feed,karmić
english,A2,fight,walczyć
english,A2,fill,napełniać
english,A2,fix,naprawiać
english,A2,forgive,wybaczać
english,A2,freeze,zamarzać
english,A2,fry,smażyć
english,A2,gather,zbierać
english,A2,greet,witać
english,A2,grow up,dorastać
english,A2,guard,strzec
english,A2,guide,prowadzić
english,A2,handle,"radzić sobie, obsługiwać"
english,A2,hang,wieszać
english,A2,head,kierować się
english,A2,heat,podgrzewać
english,A2,hide,chować
english,A2,hit,uderzać
english,A2,hug,przytulać
english,A2,hunt,polować
english,A2,identify,identyfikować
english,A2,ignore,ignorować
english,A2,imagine,wyobrażać sobie
english,A2,impress,imponować
english,A2,improve,polepszać
english,A2,include,zawierać
english,A2,increase,zwiększać
english,A2,influence,wpływać
english,A2,inform,informować
english,A2,insist,nalegać
english,A2,install,instalować
english,A2,introduce,przedstawiać
english,A2,invent,wynaleźć
english,A2,invest,inwestować
english,A2,iron,prasować
english,A2,joke,żartować
english,A2,judge,"oceniać, sądzić"
english,A2,kick,kopać
english,A2,kiss,całować
english,A2,knock,pukać
english,A2,last,trwać
english,A2,lead,prowadzić
english,A2,lift,podnosić
english,A2,lock,zamykać na klucz
english,A2,manage,zarządzać
english,A2,mark,zaznaczać
english,A2,matter,mieć znaczenie
english,A2,measure,mierzyć
english,A2,mention,wspominać
english,A2,mind,mieć coś przeciwko
english,A2,mix,mieszać
english,A2,notice,zauważać
english,A2,object,sprzeciwiać się
english,A2,observe,obserwować
english,A2,obtain,uzyskiwać
english,A2,occur,wydarzyć się
english,A2,owe,być winnym
english,A2,own,posiadać
english,A2,pack,pakować
english,A2,park,parkować
english,A2,participate,uczestniczyć
english,B1,abandon,porzucać
english,B1,accompany,towarzyszyć
english,B1,accuse,oskarżać
english,B1,acknowledge,"uznawać, przyznawać"
english,B1,acquire,nabywać
english,B1,adapt,adaptować
english,B1,adjust,dostosować
english,B1,admire,podziwiać
english,B1,adopt,adoptować
english,B1,advance,"postępować, awansować"
english,B1,advertise,reklamować
english,B1,affect,wpływać na
english,B1,aid,pomagać
english,B1,aim,celować
english,B1,alter,zmieniać
english,B1,amuse,bawić
english,B1,analyze,analizować
english,B1,anticipate,przewidywać
english,B1,appreciate,doceniać
english,B1,approach,zbliżać się
english,B1,approve,zatwierdzać
english,B1,arise,powstawać
english,B1,arm,uzbrajać
english,B1,assert,"twierdzić, zapewniać"
english,B1,assess,oceniać
english,B1,assign,przypisywać
english,B1,assist,"asystować, pomagać"
english,B1,associate,kojarzyć
english,B1,assume,zakładać
english,B1,assure,zapewniać
english,B1,attach,załączać
english,B1,attempt,próbować
english,B1,attribute,przypisywać
english,B1,await,oczekiwać
english,B1,award,nagradzać
english,B1,back,popierać
english,B1,ban,zakazywać
english,B1,bare,odsłaniać
english,B1,bathe,kąpać się
english,B1,beg,błagać
english,B1,bend,zginać
english,B1,bet,zakładać się
english,B1,bind,wiązać
english,B1,bite,gryźć
english,B1,blame,winić
english,B1,bless,błogosławić
english,B1,blind,oślepiać
english,B1,block,blokować
english,B1,blow,dmuchać
english,B1,boast,chwalić się
english,B1,bond,wiązać
english,B1,bore,nudzić
english,B1,bother,przeszkadzać
english,B1,bounce,odbijać się
english,B1,bow,kłaniać się
english,B1,branch,rozgałęziać się
english,B1,broadcast,nadawać
english,B1,bury,grzebać
english,B1,calm,uspokajać
english,B1,capture,chwytać
english,B1,cast,rzucać
english,B1,cease,przestawać
english,B1,charge,"ładować, oskarżać"
english,B1,chase,gonić
english,B1,cheat,oszukiwać
english,B1,chew,żuć
english,B1,claim,twierdzić
english,B1,clarify,wyjaśniać
english,B1,classify,klasyfikować
english,B1,cling,trzymać się kurczowo
english,B1,collapse,zawalić się
english,B1,collect,zbierać
english,B1,command,rozkazywać
english,B1,comment,komentować
english,B1,commit,popełnić
english,B1,compel,zmuszać
english,B1,compensate,rekompensować
english,B1,complain,narzekać
english,B1,compose,komponować
english,B1,comprehend,rozumieć
english,B1,comprise,składać się z
english,B1,compromise,iść na kompromis
english,B1,compute,obliczać
english,B1,conceal,ukrywać
english,B1,concede,przyznawać
english,B1,conceive,"pojąć, począć"
english,B1,conclude,"wnioskować, kończyć"
english,B1,condemn,potępiać
english,B1,conduct,prowadzić
english,B1,confer,naradzać się
english,B1,confess,wyznawać
english,B1,confide,zwierzać się
english,B1,confine,ograniczać
english,B1,confront,konfrontować
english,B1,confuse,mylić
english,B1,consent,zgadzać się
english,B1,conserve,konserwować
english,B1,console,pocieszać
english,B1,constitute,stanowić
english,B1,construct,konstruować
english,B1,consult,konsultować
english,B1,consume,konsumować
english,B1,contact,kontaktować się
english,B1,contemplate,rozważać
english,B1,contend,"twierdzić, zmagać się"
english,B1,contest,kwestionować
english,B1,contribute,przyczyniać się
english,B1,convert,przekształcać
english,B1,convey,przekazywać
english,B1,convict,skazywać
english,B1,convince,przekonywać
english,B1,cooperate,współpracować
english,B1,cope,radzić sobie
english,B1,correspond,korespondować
english,B1,corrupt,korumpować
english,B1,cough,kaszleć
english,B1,counsel,radzić
english,B1,crack,pękać
english,B1,crawl,czołgać się
english,B1,criticize,krytykować
english,B1,cure,leczyć
english,B1,curve,zakrzywiać
english,B1,dare,ośmielać się
english,B1,deceive,oszukiwać
english,B1,declare,deklarować
english,B1,decline,"odmawiać, spadać"
english,B1,decorate,dekorować
english,B1,decrease,zmniejszać
english,B1,dedicate,dedykować
english,B1,defeat,pokonać
english,B1,defer,odraczać
english,B1,delegate,delegować
english,B1,delight,zachwycać
english,B1,demonstrate,demonstrować
english,B1,deny,zaprzeczać
english,B1,depart,odjeżdżać
english,B1,depict,przedstawiać
english,B1,deposit,wpłacać
english,B1,depress,przygnębiać
english,B1,deprive,pozbawiać
english,B1,derive,czerpać
english,B1,descend,schodzić
english,B1,desert,opuszczać
english,B1,desire,pragnąć
english,B1,despise,gardzić
english,B1,detect,wykrywać
english,B1,determine,"determinować, określać"
english,B1,devote,poświęcać
english,B1,diagnose,diagnozować
english,B2,abide,przestrzegać
english,B2,abolish,znosić
english,B2,absorb,absorbować
english,B2,abuse,nadużywać
english,B2,accelerate,przyspieszać
english,B2,accommodate,zakwaterować
english,B2,accumulate,gromadzić
english,B2,accustom,przyzwyczajać
english,B2,acidify,zakwaszać
english,B2,activate,aktywować
english,B2,adhere,"przylegać, trzymać się"
english,B2,administer,administrować
english,B2,advocate,popierać
english,B2,affirm,potwierdzać
english,B2,afflict,"dotykać, dręczyć"
english,B2,aggregate,gromadzić
english,B2,alienate,zrażać
english,B2,allege,"zarzucać, twierdzić"
english,B2,alleviate,łagodzić
english,B2,allocate,przydzielać
english,B2,amend,poprawiać
english,B2,amplify,wzmacniać
english,B2,annoy,denerwować
english,B2,appall,przerażać
english,B2,appeal,apelować
english,B2,applaud,oklaskiwać
english,B2,appoint,mianować
english,B2,appraise,oceniać
english,B2,ascend,wznosić się
english,B2,ascertain,ustalać
english,B2,aspire,aspirować
english,B2,assault,atakować
english,B2,assemble,"gromadzić, montować"
english,B2,assert,"zapewniać, twierdzić"
english,B2,assign,przypisywać
english,B2,assimilate,asymilować
english,B2,astonish,zdumiewać
english,B2,attain,osiągać
english,B2,audit,kontrolować
english,B2,augment,powiększać
english,B2,authorize,autoryzować
english,B2,avail,korzystać
english,B2,avenge,mścić
english,B2,avert,zapobiegać
english,B2,baffle,"zaskakiwać, zbić z tropu"
english,B2,bang,huknąć
english,B2,banish,wygnać
english,B2,bargain,targować się
english,B2,beam,promieniować
english,B2,behold,ujrzeć
english,B2,bestow,obdarzać
english,B2,betray,zdradzać
english,B2,beware,strzec się
english,B2,bias,uprzedzać
english,B2,bid,licytować
english,B2,blast,wysadzać
english,B2,bleed,krwawić
english,B2,blend,mieszać
english,B2,bloom,kwitnąć
english,B2,blunder,popełnić gafę
english,B2,blur,zacierać
english,B2,blush,rumienić się
english,B2,bombard,bombardować
english,B2,boost,"pobudzać, zwiększać"
english,B2,boycott,bojkotować
english,B2,brace,"usztywniać, przygotować się"
english,B2,breed,hodować
english,B2,brief,instruować
english,B2,broaden,poszerzać
english,B2,browse,przeglądać
english,B2,bruise,siniaczyć
english,B2,bubble,pienić się
english,B2,buckle,zapinać
english,B2,bully,zastraszać
english,B2,bump,uderzyć
english,B2,burst,pękać
english,B2,cater,zaopatrywać
english,B2,certify,poświadczać
english,B2,challenge,wyzywać
english,B2,characterize,charakteryzować
english,B2,circulate,krążyć
english,B2,cite,cytować
english,B2,clash,zderzać się
english,B2,clench,zaciskać
english,B2,click,klikać
english,B2,climax,osiągać punkt kulminacyjny
english,B2,coach,trenować
english,B2,coexist,współistnieć
english,B2,coincide,zbiegać się
english,B2,collaborate,współpracować
english,B2,collide,zderzać się
english,B2,combat,walczyć
english,B2,commence,rozpoczynać
english,B2,commend,chwalić
english,B2,commission,zlecać
english,B2,commute,dojeżdżać
english,B2,compile,kompilować
english,B2,complement,uzupełniać
english,B2,comply,stosować się
english,B2,conceive,wyobrażać sobie
english,B2,concentrate,koncentrować się
english,B2,concern,dotyczyć
english,B2,concur,zgadzać się
english,B2,confer,nadawać
english,B2,configure,konfigurować
english,B2,conform,dostosowywać się
english,B2,congratulate,gratulować
english,B2,congregate,gromadzić się
english,B2,conquer,podbijać
english,B2,consecrate,poświęcać
english,B2,conserve,chronić
english,B2,consign,powierzać
english,B2,consolidate,konsolidować
english,B2,conspire,spiskować
english,B2,consult,konsultować
english,B2,contaminate,zanieczyszczać
english,B2,contradict,zaprzeczać
english,B2,contrast,kontrastować
english,B2,convene,zwoływać
english,B2,converge,zbiegać się
english,B2,converse,rozmawiać
english,B2,coordinate,koordynować
english,B2,correlate,korelować
english,B2,crave,pragnąć
english,B2,creep,skradać się
english,B2,cripple,okaleczyć
english,B2,cruise,płynąć w rejs
english,B2,crumble,kruszyć się
english,B2,crush,miażdżyć
english,B2,cultivate,uprawiać
english,B2,curb,ograniczać
english,B2,dampen,zwilżać
english,B2,dazzle,oślepiać
english,B2,debate,debatować
english,B2,decay,rozkładać się
english,B2,decipher,odszyfrować
english,B2,deduce,dedukować
english,B2,deem,uznawać
english,B2,default,nie uiścić
english,B2,deflect,odchylać
english,B2,deform,deformować
english,B2,defy,przeciwstawiać się
english,B2,degrade,degradować
english,B2,delete,usuwać
english,C1,abate,słabnąć
english,C1,abdicate,abdykować
english,C1,abhor,brzydzić się
english,C1,abound,obfitować
english,C1,abridge,skracać
english,C1,absolve,rozgrzeszać
english,C1,abstain,powstrzymywać się
english,C1,accentuate,akcentować
english,C1,acclaim,oklaskiwać
english,C1,accrue,narastać
english,C1,acquiesce,zgadzać się (niechętnie)
english,C1,adjourn,odraczać
english,C1,admonish,upominać
english,C1,adorn,zdobić
english,C1,adulterate,fałszować
english,C1,affiliate,przyłączać
english,C1,aggravate,pogarszać
english,C1,agitate,agitować
english,C1,ail,dolegać
english,C1,allude,nawiązywać
english,C1,allure,wabić
english,C1,alternate,zmieniać się
english,C1,amalgamate,łączyć
english,C1,ambush,zasadzać się
english,C1,ameliorate,ulepszać
english,C1,annex,anektować
english,C1,annihilate,unicestwiać
english,C1,annul,anulować
english,C1,anoint,namaszczać
english,C1,antagonize,antagonizować
english,C1,appease,łagodzić
english,C1,appertain,przynależeć
english,C1,arbitrate,rozsądzać
english,C1,arouse,wzbudzać
english,C1,arraign,oskarżać
english,C1,articulate,wyrażać
english,C1,assent,zgadzać się
english,C1,attest,zaświadczać
english,C1,auction,licytować
english,C1,audit,rewidować
english,C1,avert,odwracać
english,C1,badger,dręczyć
english,C1,balk,wzbraniać się
english,C1,bask,wygrzewać się
english,C1,belittle,umniejszać
english,C1,bemoan,opłakiwać
english,C1,bemuse,oszałamiać
english,C1,bequeath,zapisywać w testamencie
english,C1,berate,besztać
english,C1,beseech,błagać
english,C1,besiege,oblegać
english,C1,bewilder,oszałamiać
english,C1,bicker,sprzeczać się
english,C1,blab,wygadać
english,C1,blackmail,szantażować
english,C1,bolster,wzmacniać
english,C1,brandish,wymachiwać
english,C1,breach,naruszać
english,C1,brood,rozmyślać
english,C1,browbeat,zastraszać
english,C1,bungle,partaczyć
english,C1,buoy,podtrzymywać na duchu
english,C1,burgeon,rozwijać się
english,C1,buttress,podpierać
english,C1,cajole,nakłaniać
english,C1,calibrate,kalibrować
english,C1,canvass,agitować
english,C1,capitulate,kapitulować
english,C1,captivate,urzekać
english,C1,caress,pieścić
english,C1,castigate,karać
english,C1,censor,cenzurować
english,C1,chastise,karać
english,C1,chronicle,kronikować
english,C1,circumnavigate,opływać
english,C1,circumvent,omijać
english,C1,coerce,zmuszać
english,C1,commemorate,upamiętniać
english,C1,commiserate,współczuć
english,C1,condense,skraplać
english,C1,condone,tolerować
english,C1,confiscate,konfiskować
english,C1,confound,mieszać
english,C1,congeal,krzepnąć
english,C1,congregate,gromadzić się
english,C1,conjure,wyczarowywać
english,C1,connote,kojarzyć się
english,C1,conscript,pobierać do wojska
english,C1,consecrate,poświęcać
english,C1,contravene,naruszać
english,C1,corroborate,potwierdzać
english,C1,cower,kulić się
english,C1,curtail,ograniczać
english,C1,dabble,parać się
english,C1,daunt,zniechęcać
english,C1,debilitate,osłabiać
english,C1,debunk,demaskować
english,C1,decimate,dziesiątkować
english,C1,deduct,odliczać
english,C1,defame,zniesławiać
english,C1,defraud,defraudować
english,C1,degenerate,degenerować się
english,C1,dehydrate,odwadniać
english,C1,deliberate,rozważać
english,C1,delineate,nakreślać
english,C1,delude,łudzić
english,C1,demolish,burzyć
english,C1,denounce,potępiać
english,C1,deplete,wyczerpywać
english,C1,deplore,ubolewać
english,C1,deploy,rozmieszczać
english,C1,deport,deportować
english,C1,deprave,deprawować
english,C1,deprecate,potępiać
english,C1,deride,szydzić
english,C1,desecrate,bezcześcić
english,C1,designate,wyznaczać
english,C1,desist,zaprzestawać
english,C1,despair,rozpaczać
english,C1,deter,odstraszać
english,C1,deteriorate,pogarszać się
english,C1,detest,nienawidzić
english,C1,detonate,detonować
english,C1,detract,umniejszać
english,C1,devastate,dewastować
english,C1,deviate,odbiegać
english,C1,devise,wymyślać
english,C1,devour,pochłaniać
english,C1,dictate,dyktować
english,C1,differentiate,różnicować
english,C1,diffuse,rozpraszać
english,C1,digress,robić dygresję
english,C1,dilate,rozszerzać
english,C1,diminish,zmniejszać
english,C1,disable,okaleczać
english,C1,disarm,rozbrajać
english,C1,disband,rozwiązywać
english,C1,disburse,wypłacać
english,C1,discard,odrzucać
english,C1,discern,rozróżniać
english,C2,abnegate,wyrzekać się
english,C2,abrogate,uchylać
english,C2,abscond,zbiec
english,C2,accede,przystępować
english,C2,adduce,przytaczać
english,C2,adjudicate,rozsądzać
english,C2,adumbrate,naszkicować
english,C2,aggrandize,powiększać
english,C2,allocate,przydzielać
english,C2,allay,uspokajać
english,C2,amortize,amortyzować
english,C2,annotate,opatrywać przypisami
english,C2,apostrophize,apostrofować
english,C2,apprise,informować
english,C2,appropriate,przywłaszczać
english,C2,arrogate,uzurpować
english,C2,asperse,oczerniać
english,C2,asseverate,zapewniać
english,C2,assuage,łagodzić
english,C2,atone,odpokutować
english,C2,atrophy,zanikać
english,C2,attenuate,osłabiać
english,C2,aver,twierdzić
english,C2,bamboozle,ogłupiać
english,C2,bedeck,przystrajać
english,C2,bedraggle,ubłocić
english,C2,befuddle,ogłupiać
english,C2,beget,płodzić
english,C2,begrudge,zazdrościć
english,C2,beguile,uwodzić
english,C2,belabor,wałkować
english,C2,beleaguer,nękać
english,C2,belie,zadawać kłam
english,C2,besmirch,plamić
english,C2,bifurcate,rozdwajać się
english,C2,bilk,wyłudzać
english,C2,blight,niszczyć
english,C2,brandish,potrząsać
english,C2,brook,znosić
english,C2,burnish,polerować
english,C2,calumniate,oczerniać
english,C2,canonize,kanonizować
english,C2,canvass,badać opinię
english,C2,carp,narzekać
english,C2,cavil,czepiać się
english,C2,cavort,brykać
english,C2,chasten,karcić
english,C2,chide,strofować
english,C2,circumscribe,ograniczać
english,C2,cloy,przesycać
english,C2,coalesce,łączyć się
english,C2,coddle,rozpieszczać
english,C2,cogitate,rozmyślać
english,C2,collate,porównywać
english,C2,comport,zachowywać się
english,C2,conflate,łączyć
english,C2,confute,obalać
english,C2,connive,patrzeć przez palce
english,C2,consecrate,poświęcać
english,C2,construe,interpretować
english,C2,consummate,doprowadzać do końca
english,C2,contemn,gardzić
english,C2,controvert,kwestionować
english,C2,convoke,zwoływać
english,C2,coruscate,błyszczeć
english,C2,cosset,pieścić
english,C2,countenance,aprobować
english,C2,countermand,odwoływać
english,C2,cozen,oszukiwać
english,C2,cremate,kremować
english,C2,culminate,kulminować
english,C2,dally,bawić się
english,C2,debase,poniżać
english,C2,decry,potępiać
english,C2,deface,szpecić
english,C2,defalcate,defraudować
english,C2,defenestrate,wyrzucić przez okno
english,C2,delaminate,rozwarstwiać się
english,C2,demur,wahać się
english,C2,denigrate,oczerniać
english,C2,denude,ogołacać
english,C2,depose,detronizować
english,C2,depredate,rabować
english,C2,deracinate,wykorzeniać
english,C2,descry,dostrzegać
english,C2,despoil,łupić
english,C2,desquamate,złuszczać się
english,C2,diatribe,diatryba
english,C2,diffract,uginać
english,C2,disabuse,wyprowadzać z błędu
english,C2,disaffect,zrażać
english,C2,disavow,wyrzekać się
english,C2,discomfit,peszyć
english,C2,disconcert,zaskakiwać
english,C2,discourse,dyskurs
english,C2,disentangle,rozplątywać
english,C2,disgorge,wyrzucać z siebie
english,C2,dishevel,mierzwić
english,C2,disinter,odkopywać
english,C2,disparage,dyskredytować
english,C2,disport,bawić się
english,C2,dissemble,udawać
english,C2,disseminate,rozpowszechniać
english,C2,dissipate,rozpraszać
english,C2,dissociate,dystansować się
english,C2,distend,rozdymać
english,C2,divagate,błądzić
english,C2,divest,pozbawiać
english,C2,divulge,ujawniać
english,C2,dogmatize,dogmatyzować
english,C2,dovetail,pasować
english,C2,dulcify,osładzać
english,C2,echelon,szczebel
english,C2,efface,zacierać
english,C2,effervesce,musować
english,C2,effloresce,kwitnąć
english,C2,effuse,wylewać
english,C2,egress,wychodzić
english,C2,ejaculate,wytryskiwać
english,C2,elide,pomijać
english,C2,elucidate,wyjaśniać
english,C2,emanate,emanować
english,C2,emancipate,emancypować
english,C2,embellish,upiększać
english,C2,embezzle,defraudować
english,C2,emblazon,ozdabiać
english,C2,emboss,wytłaczać
english,C2,emend,poprawiać
english,C2,emulate,naśladować
english,C2,enact,uchwalać
english,C2,encapsulate,streszczać
english,C2,encroach,naruszać
english,C2,encumber,obciążać
english,C2,endear,przypodobać się
english,C2,enervate,osłabiać
english,C2,enfeeble,osłabiać
english,C2,enfranchise,udzielać praw
english,C2,engender,powodować
english,C2,engrave,grawerować
english,C2,engross,pochłaniać
english,C2,enjoin,nakazywać
english,C2,enmesh,wplątywać
english,C2,ensconce,zaszyć się
english,C2,enshrine,przechowywać
english,C2,ensnare,usidlać
english,C2,enthrall,oczarowywać
english,C2,entreat,błagać
english,C2,enunciate,wymawiać
english,C2,envenom,zatruwać
english,C2,envision,wyobrażać sobie
english,C2,epitomize,być uosobieniem
english,C2,equivocate,mówić dwuznacznie
spanish,A1,ser,być (cecha stała)
spanish,A1,estar,"być (stan, położenie)"
spanish,A1,tener,mieć
spanish,A1,hacer,robić
spanish,A1,ir,iść
spanish,A1,poder,móc
spanish,A1,decir,mówić
spanish,A1,querer,chcieć
spanish,A1,ver,widzieć
spanish,A1,dar,dawać
spanish,A1,saber,wiedzieć
spanish,A1,poner,kłaść
spanish,A1,venir,przychodzić
spanish,A1,hablar,"mówić, rozmawiać"
spanish,A1,comer,jeść
spanish,A1,vivir,żyć
spanish,A1,necesitar,potrzebować
spanish,A1,llamar,"dzwonić, nazywać"
spanish,A1,tomar,"brać, pić"
spanish,A1,escribir,pisać
spanish,A1,leer,czytać
spanish,A1,abrir,otwierać
spanish,A1,cerrar,zamykać
spanish,A1,gustar,podobać się
spanish,A1,trabajar,pracować
spanish,A1,comprar,kupować
spanish,A1,vender,sprzedawać
spanish,A1,aprender,uczyć się
spanish,A1,enseñar,nauczać
spanish,A1,entender,rozumieć
spanish,A1,empezar,zaczynać
spanish,A1,terminar,kończyć
spanish,A1,volver,wracać
spanish,A1,pensar,myśleć
spanish,A1,encontrar,znajdować
spanish,A1,sentir,czuć
spanish,A1,seguir,"kontynuować, iść za"
spanish,A1,perder,"gubić, przegrywać"
spanish,A1,jugar,"grać, bawić się"
spanish,A1,conocer,znać
spanish,A1,salir,wychodzić
spanish,A1,llegar,przybywać
spanish,A1,creer,wierzyć
spanish,A1,pasar,"mijać, spędzać"
spanish,A1,deber,musieć (mieć obowiązek)
spanish,A1,quedar,zostawać
spanish,A1,llevar,"nosić, zabierać"
spanish,A1,dejar,"zostawiać, pozwalać"
spanish,A1,contar,"liczyć, opowiadać"
spanish,A1,parecer,wydawać się
spanish,A1,ayudar,pomagać
spanish,A1,buscar,szukać
spanish,A1,esperar,"czekać, mieć nadzieję"
spanish,A1,entrar,wchodzić
spanish,A1,sacar,wyjmować
spanish,A1,mirar,patrzeć
spanish,A1,escuchar,słuchać
spanish,A1,pagar,płacić
